ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Product Type","Shipping Class","Product Visibility","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Brands,"Product categories","Product Tags","POS Product visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children
149,"Evil One (Heat Level 10) 150ml",,"<strong>Evil</strong> <strong>One</strong>

<strong>Ingredients</strong>;

Red Peppers, Cider Vinegar, Scotch Bonnet Chili (15%), Onion, Orange pulp, Lemon pulp and zest, Naga Ghost Pepper (3%), Carrot, Garlic, Brown sugar, Chili Extract (1%), Sea Salt.

Packed with Scotch Bonnets, Naga Ghost Peppers and a hint of pure chili capsaicin for that super hot long lasting after burn feeling but without the bitter taste capsaicin often gives.

This is a super hot, delicious sauce with hints of citrus, a very cleverly well made hot sauce.

Great in spaghetti, on a burger, wok, pizza or mix it with some salsa for a great spicy dip.

<strong>Heat Level 10</strong>

<strong>Suitable</strong> <strong>for</strong> <strong>Vegans</strong>",2018-06-26,product,https://chilisaus.be/product/evil-one/,0,,12,12,,instock,8,,176,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/06/evil-one-150ml.jpg|http://chilisaus.be/wp-content/uploads/2020/10/img_0101.jpeg|http://chilisaus.be/wp-content/uploads/2018/06/hete_saus_evil_one_hot_sauce.jpg|http://chilisaus.be/wp-content/uploads/2018/06/evil-1-150ml.jpg,"evil one 150ml|img_0101|hete_saus_evil_one_hot_sauce|evil 1 150ml",|||,|||,|||,http://chilisaus.be/wp-content/uploads/2018/06/evil-one-150ml.jpg,,,"Grim Reaper Foods (UK)|VERY HOT, Heat Level 10","capsaicin|citrus|evil one|ghost pepper|Orange|scotch bonnet",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,evil-one,,,0,62,open,closed,2026-02-19,no,no,,no,,,,,,,no,yes,||,,,,'-1,'-1,,,no,taxable,standard,,a:0:{},10.5.2,,a:2:{i:4;i:2;i:5;i:16;},18,4.89,
150,"Evil Twin - (Heat Level 10) 150ml",,"<strong>Evil</strong> <strong>Twin (no added sugar)</strong>

<strong>Ingredients</strong>;

Green Peppers, Vinegar, Scotch Bonnet Chili, Onion, Apple, Lime, Naga Ghost Pepper, Carrot, Spices, Garlic, Chili Extract (1%), Salt.

Super Hot sauce with Scotch Bonnet Peppers, Naga Ghost Peppers and 1% Chili extract.

Has a great heat, beautiful and fresh with the lime addition. A very well balanced sauce that delivers a great lasting heat from that splash of pure capsaicin.

Great for spicy Spaghetti. Add to mayo for a spicy dip sauce. Good in the Wok or on a Burger / Veggie Burger.

<strong>Heat</strong> <strong>level</strong> <strong>10</strong>

<strong>Suitable for Vegans</strong>

&nbsp;

&nbsp;",2018-06-26,product,https://chilisaus.be/product/evil-twin/,0,,12,12,,instock,7,,157,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/06/EvilTwin-Single-Front.jpg|http://chilisaus.be/wp-content/uploads/2018/06/0835D579-274A-4863-AC25-0D852F484700-scaled.jpeg|http://chilisaus.be/wp-content/uploads/2018/06/EvilTwin-150ml.jpg,"EvilTwin-Single-Front|0835D579-274A-4863-AC25-0D852F484700|EvilTwin 150ml",||,||,||,http://chilisaus.be/wp-content/uploads/2018/06/EvilTwin-Single-Front.jpg,,,"Grim Reaper Foods (UK)|VERY HOT, Heat Level 10","capsaicin|Evil twin|ghost pepper|lime|scotch bonnet|Vegan",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,evil-twin,,,0,61,closed,closed,2026-02-20,no,no,,no,,,,,,,no,yes,,||,,,'-1,'-1,,,no,none,,,a:0:{},10.5.2,,a:3:{i:3;i:1;i:4;i:1;i:5;i:17;},19,4.84,
175,"Naga Chilli Sauce (Heat Level 10) 140ml","<img class=""alignnone size-medium wp-image-606"" src=""https://chilisaus.be/wp-content/uploads/2018/06/1E1D14C1-C088-4412-9AF1-A79A189FEC97-198x300.jpeg"" alt="""" width=""198"" height=""300"" />","<strong>Naga</strong> <strong>Chili</strong> <strong>Sauce</strong>

<strong>Ingredients</strong>;

Naga/Ghost Chili (60%), Cider Vinegar, Water, Muscovado Sugar, Garlic, Salt.

This Siracha style sauce certainly packs a punch with 60% Naga Ghost Pepper. Simple ingredients, packed with heat and flavour.

Add into spaghetti sauce, wok dishes, noodles or make your own spicy pizza using Naga sauce as your base!

Mix it with mayo and you have a fiery Siracha mayo.

<strong>Heat</strong> <strong>Level 10</strong>

<strong>Suitable</strong> <strong>for</strong> <strong>Vegans</strong>",2018-06-26,product,https://chilisaus.be/product/naga-chilli-sauce-heat-level-10-140ml/,0,,12,12,,instock,10,,323,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/06/1E1D14C1-C088-4412-9AF1-A79A189FEC97.jpeg|http://chilisaus.be/wp-content/uploads/2018/06/naga-scaled.jpg,1E1D14C1-C088-4412-9AF1-A79A189FEC97|naga,|,|,|,http://chilisaus.be/wp-content/uploads/2018/06/1E1D14C1-C088-4412-9AF1-A79A189FEC97.jpeg,,,"VERY HOT, Heat Level 10|Wiltshire Chilli Farm (UK)","Chili saus|chili saus belgium|naga chili sauce|Vegan|Vegan hot sauce|wiltshire chilli farm",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,naga-chilli-sauce-heat-level-10-140ml,,,0,66,open,closed,2026-02-20,no,no,,no,,,,,,,no,yes,|||,|,,,'-1,'-1,,,no,taxable,standard,,a:0:{},10.5.2,,a:1:{i:5;i:22;},22,5.00,
178,"Caribbean Chilli Sauce (Heat Level 9) 140ml","<blockquote><img class=""alignnone size-medium wp-image-599"" src=""https://chilisaus.be/wp-content/uploads/2018/06/015F9008-491E-482D-B838-267AC9A0ECA9-173x300.jpeg"" alt="""" width=""173"" height=""300"" /></blockquote>","<strong>Caribbean</strong> <strong>Chili</strong> <strong>Sauce</strong>

<strong>Ingredients</strong>;

Orange Peppers, Cider Vinegar, Sugar, Habanero Chili (14%), Apple, Mango, Salt, Ghost Pepper (1%), Ginger.

The real taste of the Caribbean. This is a delicious combination of sweet and spicy.

Add into the wok or pour over rice, chicken and beans. Great with oven baked fish, in a chicken curry (just add coconut milk), or use as a dip sauce

<strong>Heat level 9</strong>

<strong>Suitable for Vegans</strong>",2018-06-26,product,https://chilisaus.be/product/caribbean-chilli-sauce/,0,,10,10,,instock,9,,248,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/06/015F9008-491E-482D-B838-267AC9A0ECA9.jpeg|http://chilisaus.be/wp-content/uploads/2018/06/caribbean-1.jpg|http://chilisaus.be/wp-content/uploads/2018/06/caribbean-2.jpg|http://chilisaus.be/wp-content/uploads/2020/11/coconut_prawns-caribb.jpg|http://chilisaus.be/wp-content/uploads/2018/06/caribbean-scaled.jpg,"015F9008-491E-482D-B838-267AC9A0ECA9|caribbean|caribbean 2|coconut_prawns caribb|caribbean",||||,||||,||||,http://chilisaus.be/wp-content/uploads/2018/06/015F9008-491E-482D-B838-267AC9A0ECA9.jpeg,,,"HOT, Heat Levels 8 - 9|Wiltshire Chilli Farm (UK)","caribbean hot sauce|ghost|ghost pepper sauce|habanero|wiltshire chilli farm",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,caribbean-chilli-sauce,,,0,60,closed,closed,2026-02-19,no,no,,no,,,,,,,no,yes,||,,,,'-1,'-1,,,no,taxable,standard,"1917,1918,1976",a:0:{},10.5.2,,a:2:{i:4;i:7;i:5;i:10;},17,4.59,
192,"Tempest Garlic Chili Oil, NEW 150ml bottles (Heat Level 5)",,"<strong>Tempest</strong> <strong>Garlic Chili</strong> <strong>Oil 150ml </strong>

<strong>Ingredients</strong>;

Cold pressed Rapeseed Oil, Natural Chili Extract, Natural Garlic Extract.

Definitely one for the Garlic lovers. Rich delicious Garlic, silky smooth Oil – this will quickly become addictive.
Add while cooking or you can use it as a finishing oil.

Perfect for Pizza, Pasta, Wok. Great with fried Chicken, mix with mayo for a spicy aioli dip.<em>. </em>

<strong>Heat Level 5</strong>

<strong>Suitable for Vegans</strong>",2018-07-10,product,https://chilisaus.be/product/tempest/,0,,10,10,,instock,1,,134,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/07/tempest-new-150ml.jpg|http://chilisaus.be/wp-content/uploads/2018/07/tempest.jpg|http://chilisaus.be/wp-content/uploads/2018/07/tempest-150-scaled.jpg,"tempest new 150ml|tempest|tempest 150",||,||,||,http://chilisaus.be/wp-content/uploads/2018/07/tempest-new-150ml.jpg,,,"Chili Oil|Grim Reaper Foods (UK)|MEDIUM, Heat Levels 5 - 7","Chili olie|Garlic|oil|olie|spicy chili oil|tempest|Vegan",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,tempest,,,0,68,open,closed,2026-02-19,no,no,,no,,,,,,,no,yes,||,,,,'-1,'-1,,,no,taxable,standard,,a:0:{},10.5.2,,a:2:{i:4;i:2;i:5;i:9;},11,4.82,
214,"Mango Chilli Sauce (Heat Level 7) 140ml","<img class=""alignnone size-medium wp-image-601"" src=""https://chilisaus.be/wp-content/uploads/2018/07/B7EEA032-5C09-4A2E-9911-B605B4130A4E-176x300.jpeg"" alt="""" width=""176"" height=""300"" />","<strong>Mango</strong> <strong>Chili</strong> <strong>Sauce</strong>

<strong>Ingredients</strong>;

Mango (33%), Sugar, Cider Vinegar, Onion, Lime juice, Garlic, Habanero Chili (3%), <strong>MUSTARD</strong>, Spices, Salt.

The perfect combination of sweet juicy mango and fruity spicy Habanero. The real fresh taste of tropical mango in a bottle.

Great in the wok, marinade salmon or chicken or drizzle over a goats cheese and beetroot salad. If you dare, try it with ice cream, waffles and bananas!

<strong>Heat</strong> <strong>Level</strong> <strong>7</strong>

<strong>Suitable for Vegans</strong>",2018-07-10,product,https://chilisaus.be/product/mango-chilli-sauce/,0,,10,10,,instock,5,,267,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/07/B7EEA032-5C09-4A2E-9911-B605B4130A4E.jpeg|http://chilisaus.be/wp-content/uploads/2018/07/mango.jpg,B7EEA032-5C09-4A2E-9911-B605B4130A4E|mango,|,|,|,http://chilisaus.be/wp-content/uploads/2018/07/B7EEA032-5C09-4A2E-9911-B605B4130A4E.jpeg,,,"MEDIUM, Heat Levels 5 - 7|Wiltshire Chilli Farm (UK)","Chili saus|habanero hot sauce|mango hot sauce|Vegan|wiltshire chilli farm",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,mango-chilli-sauce,,,0,46,open,closed,2026-02-19,no,no,,no,,,,,,,no,yes,||,,,,'-1,'-1,,,no,taxable,standard,1855,a:0:{},10.5.2,,a:3:{i:3;i:1;i:4;i:2;i:5;i:15;},18,4.78,
230,"Sweet Chilli Sauce (Heat Level 1) 140ml","<p><img class=""alignnone size-medium wp-image-608"" src=""https://chilisaus.be/wp-content/uploads/2018/07/EB5CF224-8AB7-48AE-A41F-38E947C16AEE-181x300.jpeg"" alt="""" width=""181"" height=""300"" /></p>
","<p style=""text-align: left""><strong>Sweet</strong> <strong>Chili</strong> <strong>Sauce</strong></p>
<p><strong>Ingredients</strong>;</p>
<p>Sugar, Cider Vinegar, Garlic, Hungarian Hot Wax Chili (1%), Ginger</p>
<p>Fruity Hot Wax peppers and lots of fresh Ginger makes this Sweet Chili sauce really stand out from the crowd. 100% natural ingredients, sweet, sticky and highly addictive.</p>
<p>Perfect dip sauce for Loempia,<span style=""float: none;background-color: #ffffff;color: #333333;cursor: text;font-family: -apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Oxygen-Sans,Ubuntu,Cantarell,'Helvetica Neue',sans-serif;font-size: 16px;font-style: normal;font-variant: normal;font-weight: 400;letter-spacing: normal;text-align: left;text-decoration: none;text-indent: 0px;text-transform: none""> Gambas or any fried snacks. G</span>reat in the wok, with rice or noodles, also very delicious with cheese.</p>
<p>It’s one for the whole family!</p>
<p><strong>Heat</strong> <strong>level</strong> <strong>1</strong></p>
<p><strong>Suitable for Vegans</strong></p>
<p>&nbsp;</p>
",2018-07-10,product,https://chilisaus.be/product/sweet-chilli-sauce/,0,,10.00,10.00,,outofstock,,,52,simple,,outofstock|rated-4,http://chilisaus.be/wp-content/uploads/2018/07/EB5CF224-8AB7-48AE-A41F-38E947C16AEE.jpeg|http://chilisaus.be/wp-content/uploads/2018/07/sweet.jpg,EB5CF224-8AB7-48AE-A41F-38E947C16AEE|sweet,|,|,|,http://chilisaus.be/wp-content/uploads/2018/07/EB5CF224-8AB7-48AE-A41F-38E947C16AEE.jpeg,,,"MILD, Heat Levels 1 - 4|Wiltshire Chilli Farm (UK)","hot sauce|hungarian hot wax|sweet chilli|Vegan|vegetarian",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,sweet-chilli-sauce,,,0,58,open,closed,2024-12-30,no,no,,no,,,,,,,no,no,||,,,,'-1,'-1,,,no,taxable,standard,1916,a:0:{},9.5.1,,a:3:{i:3;i:1;i:4;i:2;i:5;i:3;},6,4.33,
231,"Reaper Habanero (Heat Level 10) 140ml","<blockquote>
<p style=""padding-left: 40px;""></p>
</blockquote>","<strong>Reaper Habanero </strong>

<strong>Ingredients;</strong>

Red Habanero, Cider Vinegar, Brown Sugar, Onion, Red Peppers, Carolina Reaper, Smoked Paprika, Garlic

A delicious blend of Garlic, Smoked Paprika, Habanero and The Carolina Reaper. Simple ingredients, real depth of flavour. You wont be disappointed with this flavour combination!

Perfect to spice up your Spaghetti. Great with Pizza, noodles, chicken wings and eggs.

<strong>Heat Level 10</strong>

<strong>Suitable for Vegans</strong>",2018-07-10,product,https://chilisaus.be/product/reaper-habanero/,0,,12.00,12.00,,instock,2,,306,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/07/Reaper-Habanero-140ml.webp|http://chilisaus.be/wp-content/uploads/2018/07/rh-2.jpg|http://chilisaus.be/wp-content/uploads/2018/07/rh.jpg,"Reaper-Habanero-140ml|rh 2|rh",||,||,||,http://chilisaus.be/wp-content/uploads/2018/07/Reaper-Habanero-140ml.webp,,,"VERY HOT, Heat Level 10|Wiltshire Chilli Farm (UK)","carolina reaper|habanero hot sauce|reaper habanero|wiltshire chilli farm",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,reaper-habanero,,,0,51,open,closed,2026-02-19,no,no,,no,,,,,,,no,yes,|||,,,,'-1,'-1,,,no,taxable,standard,2160,a:0:{},10.5.2,,a:2:{i:4;i:2;i:5;i:28;},30,4.93,
235,"Garlic Chilli Salt (Heat Level 3) 65g",<blockquote>&nbsp;</blockquote>,"<strong>Garlic</strong> <strong>Chili</strong> <strong>Salt</strong>

*Now in handy air tight, zip lock packaging

<strong>Ingredients</strong>;

Sea salt (67%) Garlic (19%) Cayenne Chili (14%)

This delicious combination of punchy Garlic, Cayenne Peppers and the finest quality Sea salt is a real winner.

A true secret ingredient.

Fry with garlic and onions for a super base flavour. Grind into or onto your spaghetti. Great with soup, fries, pizza, pasta, fried chicken.

<em>A real top favourite at Chilisaus.be HQ – we use it on anything and everything!</em>

<strong>Heat level 3</strong>

<strong><span style=""text-align: left; color: #333333; text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: -apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Oxygen-Sans,Ubuntu,Cantarell,'Helvetica Neue',sans-serif; font-size: 16px; font-style: normal; font-variant: normal; text-decoration: none; cursor: text; float: none; background-color: #ffffff;"">Suitable for Vegans</span></strong>

&nbsp;",2018-07-10,product,https://chilisaus.be/product/garlic-chilli-salt/,0,,8,8,,instock,9,,145,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/07/Garlic-Salt-wcf-NEW.webp|http://chilisaus.be/wp-content/uploads/2018/07/E8426626-FC11-4A65-BA82-E54D20D96448.jpeg,"Garlic-Salt wcf NEW|E8426626-FC11-4A65-BA82-E54D20D96448",|,|,|,http://chilisaus.be/wp-content/uploads/2018/07/Garlic-Salt-wcf-NEW.webp,,,"MILD, Heat Levels 1 - 4|Salts, Seasonings &amp; Rubs|Wiltshire Chilli Farm (UK)","cayenne chilli|garlic chili salt",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,garlic-chilli-salt,,,0,39,open,closed,2026-02-19,no,no,,no,,,,,,,no,yes,|,,,,'-1,'-1,,,no,taxable,standard,,a:0:{},10.5.2,,a:2:{i:4;i:5;i:5;i:11;},16,4.69,
247,"BLACK - Carolina Reaper &amp; Blueberry Hot Sauce (Heat Level 10)","<ol>
<li><img class=""alignnone size-medium wp-image-618"" src=""https://chilisaus.be/wp-content/uploads/2018/07/C73C50E5-0B65-45FD-B1C2-3997821D753D-258x300.jpeg"" alt="""" width=""258"" height=""300"" /></li>
</ol>
","<p><strong>BLACK</strong> – <strong>Carolina</strong> <strong>Reaper</strong>&nbsp;<strong>&amp;</strong>&nbsp;<strong>Blueberry</strong></p>
<p><strong>Ingredients</strong>;</p>
<p>Sweet peppers, onions, white wine vinegar, apples, blueberries (10%) Carolina Reaper Chili (6.6%) Birds eye Chilli, limes, olive oil, sea salt.</p>
<p>Great on a pizza, delicious as a burger sauce or added into soup. Great with noodles and also makes great sweet &amp; spicy pancakes.</p>
<p><strong>Heat Level 10</strong></p>
<p><span style=""text-align: left;color: #333333;text-transform: none;text-indent: 0px;letter-spacing: normal;font-family: -apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Oxygen-Sans,Ubuntu,Cantarell,'Helvetica Neue',sans-serif;font-size: 16px;font-style: normal;font-variant: normal;text-decoration: none;cursor: text;float: none;background-color: #ffffff""><strong>Suitable for Vegans</strong></span></p>
<p class=""font_8""><em>A word from the creator;</em></p>
<p class=""font_8""><em>“At Crazy Bastard Sauce we produce a range of high quality hot sauces,</em></p>
<p class=""font_8""><em>made with oven roasted chilis and fresh natural ingredients. We don’t add refined sugar, bitter extrac</em>t, <em>thickening agents or dilute with water”</em></p>
",2018-07-10,product,https://chilisaus.be/product/black-carolina-reaper-blueberry/,0,,10,10,,instock,6,,164,simple,,rated-5,http://chilisaus.be/wp-content/uploads/2018/07/C73C50E5-0B65-45FD-B1C2-3997821D753D.jpeg,C73C50E5-0B65-45FD-B1C2-3997821D753D,,,,http://chilisaus.be/wp-content/uploads/2018/07/C73C50E5-0B65-45FD-B1C2-3997821D753D.jpeg,,,"Crazy Bastard Sauce (DE)|VERY HOT, Heat Level 10","black|blueberries|carolina reaper|crazy bastard sauce|hot sauce|reaper|Vegan|veganistisch",,publish,4,Kerri,sales@chilisaus.be,Chilisaus,Innes,black-carolina-reaper-blueberry,,,0,31,closed,closed,2026-02-23,no,no,,no,,,,,,,no,yes,||||,||,,,'-1,'-1,,,no,taxable,standard,,a:0:{},10.5.2,,a:2:{i:4;i:1;i:5;i:13;},14,4.93,
